vader_sentiment,flair_sentiment,uk_new_case,us_new_case,germany_rki_new_cases,mcx_stock,dji_stock,dax_stock
0.194082169,0.214457831,0,3,1,25.01499939,28630.39063,13077.57031
0.117,0.171974522,0,0,2,24.98999977,28904.88086,13282.62988
0.149584272,0.165048544,1,0,0,25.02000046,29308.89063,13488.58008
0.107660833,0.091666667,0,1,0,25,29408.05078,13606.96973
0.151806542,0.079439252,1,0,1,25.07999992,29286.91992,13551.03027
0.122913356,0.006849315,0,0,1,25.07999992,29286.91992,13551.03027
0.013402888,0.061371841,0,0,0,25.07999992,29286.91992,13551.03027
0.141356619,0.205702648,4,0,0,25.01000023,29278.07031,13501.74023
0.128960036,0.153707052,1,1,0,25.20000076,29415.39063,13668.42969
0.157155712,0.294781382,0,0,2,25.10000038,29568.57031,13758.7002
0.087580323,0.227606461,1,1,0,25.04000092,29535.40039,13745.42969
0.178987687,0.220149254,0,1,0,25.04000092,29463.03906,13788.50977
0.088386592,-0.016759777,0,0,0,25.04000092,29463.03906,13788.50977
0.034224013,-0.059210526,0,0,0,25.04000092,29463.03906,13788.50977
0.15722134,0.104056437,0,0,0,25.04000092,29463.03906,13795.24023
0.142972504,0.19089317,0,0,0,25.04000092,29330.16016,13731.38965
0.190630303,0.257575758,0,0,0,25,29409.08984,13789
0.168569643,0.264285714,0,0,0,25.02000046,29368.44922,13788.41016
0.147533833,0.143468951,0,1,0,25.02000046,29146.5293,13689.23047
0.140050853,0.194539249,0,19,0,25.02000046,29146.5293,13689.23047
0.074725794,0.079365079,1,0,0,25.02000046,29146.5293,13689.23047
0.141692668,0.279022403,0,0,0,24.97999954,28402.92969,13236.58008
0.139425536,0.228571429,0,18,0,25.14999962,28149.19922,13132.04004
0.185063761,0.302564103,2,0,2,25.04999924,27542.7793,12849.16992
0.145595062,0.197530864,5,6,4,25.10000038,26775.31055,12593.62012
0.011196777,-0.145926589,4,1,26,25.04000092,25494.24023,12008.58984
-0.046421212,-0.370950888,8,6,10,25.04000092,25494.24023,12008.58984
-0.085227376,-0.363119415,12,3,54,25.04000092,25494.24023,12008.58984
-0.115489673,-0.370005189,5,20,18,25,26706.16992,12121.59961
-0.05270696,-0.256117455,22,14,28,25,27084.58984,12272.99023
-0.014557143,-0.184145334,40,22,39,25.04000092,27102.33984,12199.82031
-0.018196709,-0.184810127,55,34,66,25.04000092,26671.91992,12207.76953
-0.046439244,-0.252925293,56,74,138,25.03000069,25994.38086,11769.84961
-0.0515825,-0.384782609,51,105,284,25.03000069,25994.38086,11769.84961
-0.019877442,-0.172093023,81,95,163,25.03000069,25994.38086,11769.84961
0.033092187,-0.055288462,60,121,55,24.96999931,24992.35938,10995.21973
0.031015323,-0.066820276,57,200,237,24.87999916,25020.99023,11032.29004
0.003050124,-0.089552239,148,271,157,24.79999924,24604.63086,10761.42969
-0.008918402,-0.05278174,259,287,271,24.54000092,22837.94922,9932.55957
0.008113707,-0.137071651,406,351,802,23.99900055,23189.75977,9985.740234
-0.016613391,-0.24838013,484,511,693,23.99900055,23189.75977,9985.740234
-0.024537772,-0.173913043,478,777,733,23.99900055,23189.75977,9985.740234
-0.013117636,-0.065891473,361,823,1043,23.39800072,21768.2793,8967.110352
0.006557227,-0.014749263,442,887,1174,23.56399918,21379.34961,9145.929688
-0.074172029,-0.114045618,611,1766,1144,17.76000023,20489.33008,8670.410156
0.035025109,0.09724238,769,2988,1042,13.63000011,20442.63086,8668.480469
0.026954047,-0.09739369,999,4835,5940,15.30000019,20531.25977,9201.070313
-0.022501427,-0.14978602,1055,5374,4049,15.30000019,20531.25977,9201.070313
-0.001920896,-0.23880597,1255,7123,3276,15.30000019,20531.25977,9201.070313
0.012764305,-0.14973262,1198,8459,3311,15.64999962,19121.00977,9071.139648
-0.09921978,0.021978022,1378,11236,4438,16.32999992,20737.69922,9700.570313
-0.048467225,-0.023923445,2338,8789,2342,17.38999939,22019.92969,10137.62012
0.042323848,0.002304147,2375,13963,4954,18.45000076,22595.06055,10000.95996
-0.006308742,-0.081023454,2692,16797,5780,18.13999939,22327.57031,9886.179688
0.057230769,-0.076923077,3087,18695,6294,18.13999939,22327.57031,9886.179688
0.14457906,0.311307585,3197,19979,3965,18.13999939,22327.57031,9886.179688
0.088996264,-0.01369863,2822,18360,4751,18.62999916,22378.08984,9817.509766
0.033638068,-0.022727273,2858,21595,4615,18.64999962,22480.36914,10096.41992
0.040937825,0.030732861,4273,24998,5453,18.52000046,21487.24023,9686.459961
0.043511974,-0.100093545,4514,27103,6156,18.04999924,21477.76953,9650.269531
0.049922444,0.027431421,4913,28819,6174,17.29999924,21447.81055,9626.719727
0.016013811,-0.08041958,4868,32425,6082,17.29999924,21447.81055,9626.719727
-0.14481925,-0.169199595,4911,34272,5936,17.29999924,21447.81055,9626.719727
0.093093082,0.07966457,4020,25398,3677,18.69000053,22783.44922,10097.30957
0.092186789,0.025371829,3592,30561,3834,20.92000008,23617.24023,10590.41016
0.059041084,-0.075174825,5282,30613,4003,21.69499969,23513.40039,10340.79004
0.02821,-0.02,5450,33323,4974,22.03000069,24008.99023,10649.79004
0.043393257,-0.050890585,5131,33901,5323,22.03000069,24008.99023,10649.79004
-0.000304762,-0.081904762,4858,35527,4133,22.03000069,24008.99023,10649.79004
0.022342163,-0.024282561,4313,28391,2821,22.03000069,24008.99023,10649.79004
0.03382972,-0.031775701,3579,27620,2537,21.71999931,23698.92969,10649.79004
0.098036402,0.062761506,3489,25023,2082,22.35000038,24040.58008,10820.16992
0.099794673,0.132420091,4178,26922,2486,21.98999977,23649.7207,10678.19043
0.077010526,0.152631579,4326,30148,2866,21.79000092,23598.08008,10438.37012
0.094360653,0.133522727,5065,31667,3380,21.37000084,24264.21094,10756.78027
0.043569187,-0.024574669,5292,30833,3609,21.37000084,24264.21094,10756.78027
0.021216271,-0.298305085,4956,32922,2458,21.37000084,24264.21094,10756.78027
0.090027764,-0.061425061,4721,24601,1775,21.35000038,24108.68945,10707.30957
0.093557901,-0.044247788,3853,28065,1785,21.01499939,23365.25,10524.73047
0.132963962,0.097852029,4854,37289,2237,21.44499969,23613.09961,10425.01953
0.131248437,0.071428571,4760,17588,2352,21.20000076,23885.35938,10608.38965
0.11315481,0.100671141,5487,26543,2337,21.54999924,23826,10486.46973
0.112130394,0.084427767,5158,21352,2055,21.54999924,23826,10486.46973
0.112256484,0.032967033,4970,48529,1737,21.54999924,23826,10486.46973
-0.002531319,-0.020961776,3748,26857,1018,21.64599991,24207.65039,10660.36035
0.111671774,0.112903226,3473,22541,1144,22.54999924,24512.24023,10897.82031
0.105777449,0.228615863,4706,24132,1304,22.98999977,24764.76953,11125.34961
0.128685836,0.197952218,4729,27326,1478,23.04999924,24585.57031,11235.57031
0.1290112,0.1776,5442,29917,1639,21.96999931,24120.7793,11235.57031
0.08604031,0.054263566,4966,33955,945,21.96999931,24120.7793,11235.57031
-0.052189563,-0.009708738,4737,29288,793,21.96999931,24120.7793,11235.57031
0.113223104,0.209876543,3229,24972,679,22.39999962,23769.56055,10578.42969
0.181608957,0.245227606,2982,22593,685,22.56200027,24169.7207,10736.9502
0.115827711,0.153184165,3389,23841,947,21.85000038,24054.58984,10773.86035
0.145758236,0.231281198,3682,24128,1284,21.89999962,24094.61914,10761.86035
0.079265302,0.106761566,3827,28369,1209,22.31999969,24349.90039,10918.32031
0.28619449,0.346938776,3767,26957,1251,22.31999969,24349.90039,10918.32031
0.128400329,0.144736842,3063,25612,667,22.31999969,24349.90039,10918.32031
0.173066545,0.21023766,2157,20258,357,22.35000038,24366.21094,10986.21973
0.068251592,0.082802548,2329,18117,933,23,24382.08984,10886.00977
0.076275374,0.154742097,3586,22048,798,23,23708.90039,10698.12988
0.068412747,0.122913505,3402,20782,933,22.03000069,23630.85938,10474.08008
0.107181548,0.179354839,3307,27143,913,22.79999924,23730.08008,10547.19043
0.008236611,-0.054393305,2628,25508,620,22.79999924,23730.08008,10547.19043
-0.018741628,-0.055813953,2526,24487,583,22.79999924,23730.08008,10547.19043
0.114211129,0.119476268,2079,18873,342,22.60000038,24708.53906,11089.5
0.046193228,0.11496063,1838,21841,513,22.70000076,24599.5,11201.17969
0.135703262,0.095035461,2589,19970,797,22.79999924,24649.48047,11246.91016
0.149817464,0.094437257,3052,23285,745,22.70000076,24718.46094,11194.91992
0.162099646,0.223140496,2718,25434,460,22.79999924,24481.64063,11138.15039
0.058934581,0.039647577,2574,24147,638,22.79999924,24481.64063,11138.15039
0.166073607,0.008797654,2062,21236,431,22.79999924,24481.64063,11138.15039
0.157923908,0.144827586,1527,20568,289,22.79999924,24481.64063,11391.28027
0.195294896,0.243856333,1364,19064,432,22.79999924,25176.41992,11544.34961
0.157807733,0.318101933,1624,18910,362,22.96999931,25551.56055,11747.2002
0.115268593,0.081481481,1672,18721,353,23.05400085,25758.78906,11813.13965
0.126539139,0.099804305,1835,21817,741,23.64999962,25482.80078,11729.98047
0.069105763,-0.023728814,1760,25337,738,23.64999962,25482.80078,11729.98047
0.111693831,0.071428571,1527,23297,286,23.64999962,25482.80078,11729.98047
0.229868078,-0.166123779,1125,19807,333,23.64999962,25508.83008,11729.98047
0.109778603,0.11790393,1079,21086,213,23.70999908,25743.13086,12055.57031
0.144153501,0.152603232,1441,20544,342,24.60000038,26337.75,12507.41016
0.130710937,0.140625,1484,19699,394,23.70000076,26384.09961,12558.24023
0.168129412,0.268907563,1356,21140,507,23.82999992,27338.30078,12858.79004
0.008211444,-0.046321526,1243,25178,407,23.82999992,27338.30078,12858.79004
-0.002853047,-0.11827957,1120,22223,301,23.82999992,27338.30078,12858.79004
0.168059701,0.174129353,801,22302,214,23.81699944,27580.21094,12913.12988
0.159508092,0.140655106,721,18822,350,23.70000076,27447.36914,12864.91016
0.12506822,0.216101695,1099,18665,318,23.79999924,27355.2207,12763.88965
0.092202368,0.162112933,1158,20614,555,23.67000008,26294.08008,12301.9502
0.169562963,0.16872428,1199,22883,258,23.75499916,25965.55078,12172.62988
0.199209133,0.175644028,1017,25639,348,23.75499916,25965.55078,12172.62988
0.058505363,0.015772871,1052,25540,247,23.75499916,25965.55078,12172.62988
0.220227571,0.345714286,890,19543,192,23.63999939,25891.58008,11968.05957
0.245737723,0.390946502,822,19957,378,23.89900017,26611.0293,12434.26953
0.222673864,0.231818182,1043,23705,345,23.77499962,26400.07031,12432.23047
0.249927236,0.278455285,1102,25559,580,23.79999924,26154.19922,12483.83984
0.343152199,0.49963951,1013,27762,770,23.62400055,26451.43945,12447.15039
0.281171028,0.367463026,1027,29909,601,23.62400055,26451.43945,12447.15039
0.176878374,0.147239264,986,34158,687,23.62400055,26451.43945,12447.15039
0.123468873,0.143661972,687,25793,537,23.74500084,26059.81055,12399.37012
0.20042293,0.331210191,639,31390,503,23.74300003,26314.9707,12616.12012
0.165760204,0.18707483,896,34720,587,23.76000023,25992.96094,12489.24023
0.250311576,0.31511254,886,34339,630,23.79999924,25769.60938,12236.45996
0.080173101,0.01120797,778,40949,477,23.69499969,25641.68945,12347.4502
0.121738627,-0.055793991,721,45527,687,23.69499969,25641.68945,12347.4502
